date,Total Cases,Total Deaths,Total Recovered,Currently Positive,Currently Hospitalized,Currently Critical
2020-08-30,0.002868080369600007,7.903624052960315e-05,0.0023499706630748414,0.0004390734659955625,7.119294948468069e-05,5.429970723407849e-06
2020-08-31,0.0028778844834061604,8.52203738534843e-05,0.0023852654727769926,0.0004073986367756834,6.832713160288211e-05,5.128305683218524e-06
2020-09-01,0.002886632769571651,8.597453645395762e-05,0.002408342848351476,0.0003923153847662171,6.35004909598529e-05,4.0724780425558875e-06
2020-09-02,0.002899604366299792,8.687953157452559e-05,0.0024362468645689884,0.0003764779701562776,6.123800315843297e-05,4.675808122934537e-06
2020-09-03,0.0029164976085503938,8.914201937594553e-05,0.002469128353949625,0.0003582272352248234,5.4450539754173155e-05,5.279138203313187e-06
2020-09-04,0.0029284133776378723,9.804113806153062e-05,0.002507590646573764,0.0003227815930025777,4.962389911114396e-05,4.977473163123862e-06
2020-09-05,0.0029380666589239306,9.970029578257191e-05,0.0025315730172688154,0.0003067933458725435,4.494809098820942e-05,5.429970723407849e-06
2020-09-06,0.0029469657776095156,0.00010045445838304522,0.002552237072521784,0.00029427424670468654,4.2685603186789486e-05,5.279138203313187e-06
2020-09-07,0.0029523957483329234,0.00010181195106389718,0.0025725994627345634,0.00027798433453446296,4.012145034518022e-05,6.3349658439758245e-06
2020-09-08,0.0029585798816568047,0.00010301861122465448,0.0025905485326258282,0.00026501273780632197,3.5898139782529675e-05,5.279138203313187e-06
2020-09-09,0.0029695906556237153,0.00010467776894569577,0.0026110617553587023,0.00025385113131931694,2.956317393855385e-05,4.8266406430292e-06
