Total Cases,Deaths,Recovered,Date,Currently Positive
0.00495014729235629,0.0005934985231891705,0.0031942710781351,5/21/20,0.001162377691032019
0.004988106557243155,0.0006081129463800849,0.0031942710781351,5/22/20,0.00118572253272797
0.0049980052799277,0.0006091750410887269,0.0031942710781351,5/23/20,0.0011945591607038725
0.005008243872919009,0.0006107469412575171,0.0031942710781351,5/24/20,0.0012032258535263915
0.005000341888286712,0.0005700049882340086,0.0031942710781351,5/25/20,0.0012360658219176032
0.0050185886753811824,0.0005760164442849225,0.0031942710781351,5/26/20,0.0012483011529611596
0.0050185886753811824,0.0005760164442849225,0.0031942710781351,5/27/20,0.0012483011529611596
0.0050535740750838505,0.0005760589280732683,0.0031942710781351,5/28/20,0.001283244068875482
0.00506755124144958,0.0005761014118616139,0.0031942710781351,5/29/20,0.0012971787514528656
0.005081655859180346,0.0005761863794383052,0.0031942710781351,5/30/20,0.0013111984016069404
0.0050869875746177295,0.000576228863226651,0.0031942710781351,5/31/20,0.0013164876332559783
0.005090365035791211,0.000576228863226651,0.0031942710781351,6/1/20,0.0013198650944294594
0.005096610152678026,0.000576228863226651,0.0031942710781351,6/2/20,0.001326110211316275
0.005104979458982126,0.0005762501051208238,0.0031942710781351,6/3/20,0.0013344582757262016
0.005112074251635854,0.000576356314591688,0.0031942710781351,6/4/20,0.0013414468589090659
0.005118829173982818,0.0005763775564858609,0.0031942710781351,6/5/20,0.0013481805393618569
0.0051258814828482,0.0005763987983800336,0.0031942710781351,6/6/20,0.0013552116063330665
0.005130979537449683,0.0005764200402742065,0.0031942710781351,6/7/20,0.001360288419040376
0.005134526933776547,0.0005764200402742065,0.0031942710781351,6/8/20,0.0013638358153672402
0.005139816165425584,0.0005764200402742065,0.0031942710781351,6/9/20,0.0013691250470162773
0.005146486120195856,0.0005764200402742065,0.0031942710781351,6/10/20,0.0013757950017865496
0.005155556409007659,0.0005764200402742065,0.0031942710781351,6/11/20,0.0013848652905983521
0.005166219839882425,0.0005764200402742065,0.0031942710781351,6/12/20,0.0013955287214731187
0.00517463162997487,0.0005764200402742065,0.0031942710781351,6/13/20,0.0014039405115655631
0.005181492761792698,0.0005764200402742065,0.0031942710781351,6/14/20,0.001410801643383391
0.005185337544637982,0.0005764200402742065,0.0031942710781351,6/15/20,0.0014146464262286755
0.005189989519461834,0.0005764200402742065,0.0031942710781351,6/16/20,0.001419298401052527
0.005197530391893193,0.0005764200402742065,0.0031942710781351,6/17/20,0.0014268392734838862
0.005209956899984304,0.0005764200402742065,0.0031942710781351,6/18/20,0.0014392657815749973
0.005216478161495367,0.0006014642335039858,0.0031942710781351,6/19/20,0.0014207428498562808
0.005224188969080108,0.0006016129267631957,0.0031942710781351,6/20/20,0.0014283049641818121
0.005231283761733836,0.0006016341686573684,0.0031942710781351,6/21/20,0.0014353785149413675
0.005236211881181936,0.0006016554105515413,0.0031942710781351,6/22/20,0.0014402853924952944
0.0052414798709368,0.0006016766524457142,0.0031942710781351,6/23/20,0.0014455321403559858
0.005248574663590529,0.0006017191362340599,0.0031942710781351,6/24/20,0.0014525844492213687
0.0052570714212596655,0.0006017828619165784,0.0031942710781351,6/25/20,0.0014610174812079869
0.005265971774918086,0.0006019527970699611,0.0031942710781351,6/26/20,0.0014697478997130245
0.005277952203231568,0.0006020165227524796,0.0031942710781351,6/27/20,0.0014816646023439878
0.005284346013377593,0.0006020590065408253,0.0031942710781351,6/28/20,0.0014880159287016673
0.005288594392212161,0.0006021227322233438,0.0031942710781351,6/29/20,0.001492200581853717
0.005294988202358186,0.0006023139092708994,0.0031942710781351,6/30/20,0.0014984032149521868
0.0053032300572972485,0.0006025050863184549,0.0031942710781351,7/1/20,0.0015064538928436936
0.0053126614583099896,0.0006025900538951463,0.0031942710781351,7/2/20,0.0015158003262797431
0.005322050375534385,0.0006029511660960846,0.0031942710781351,7/3/20,0.0015248281313031999
0.005322050375534385,0.0006029511660960846,0.0031942710781351,7/4/20,0.0015248281313031999
0.005322050375534385,0.0006029511660960846,0.0031942710781351,7/5/20,0.0015248281313031999
0.005348475291885399,0.0006030148917786031,0.0031942710781351,7/6/20,0.0015511893219716955
0.005355718777798338,0.0006030998593552945,0.0031942710781351,7/7/20,0.0015583478403079429
0.005363854423266536,0.0006031848269319859,0.0031942710781351,7/8/20,0.0015663985181994496
0.0053753887718023885,0.0006032910364028501,0.0031942710781351,7/9/20,0.0015778266572644382
0.005393486865637649,0.0006033335201911957,0.0031942710781351,7/10/20,0.0015958822673113526
0.005393486865637649,0.0006033335201911957,0.0031942710781351,7/11/20,0.0015958822673113526
0.005393486865637649,0.0006033335201911957,0.0031942710781351,7/12/20,0.0015958822673113526
0.005436926539221108,0.0006033972458737143,0.0031942710781351,7/13/20,0.0016392582152122935
0.005451073640740219,0.0006034609715562328,0.0031942710781351,7/14/20,0.0016533415910488865
0.005469660298141455,0.0006035459391329241,0.0031942710781351,7/15/20,0.001671843280873431
0.005498570516110692,0.0006036096648154427,0.0031942710781351,7/16/20,0.0017006897731601488
0.005528309167952669,0.000603694632392134,0.0031942710781351,7/17/20,0.0017303434574254344
0.005528309167952669,0.000603694632392134,0.0031942710781351,7/18/20,0.0017303434574254344
0.005528309167952669,0.000603694632392134,0.0031942710781351,7/19/20,0.0017303434574254344
0.005625618285158452,0.0006037371161804798,0.0031942710781351,7/20/20,0.0018276100908428722
0.0056544647774451695,0.0006037795999688254,0.0031942710781351,7/21/20,0.0018564140993412438
