Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.002765289479238162,0.00043195718477724245,0.0009995692357787599,185440,28967,67031,6/3/20,0.0013337630586821596,89442
0.0027753998452159636,0.0004325984026784895,0.001006712104957767,186118,29010,67510,6/4/20,0.0013360893375797072,89598
0.002783631293622669,0.00043328435671238156,0.001014123390932645,186670,29056,68007,6/5/20,0.0013362235459776425,89607
0.0027915197650124285,0.000433746630083048,0.0010182242030917826,187199,29087,68282,6/6/20,0.0013395489318375978,89830
0.002795888993967437,0.0004339404866578436,0.0010182391151359977,187492,29100,68283,6/7/20,0.0013437093921735955,90109
0.0027973503743005113,0.0004347308250012411,0.0010187759487277394,187590,29153,68319,6/8/20,0.0013438436005715308,90118
0.002802345909112552,0.00043598343671530495,0.0010249942711654137,187925,29237,68736,6/9/20,0.0013413682012318334,89952
0.002808265990665925,0.000436326413732251,0.0010294082362530673,188322,29260,69032,6/10/20,0.0013425313406806067,90030
0.002813604502494912,0.00043672903892605727,0.0010340607940481617,188680,29287,69344,6/11/20,0.001342814669520693,90049
0.002822014895432198,0.00043714657616407854,0.0010375502123944826,189244,29315,69578,6/12/20,0.0013473181068736368,90351
0.002827875328808711,0.00043750446522523964,0.001040607181458567,189637,29339,69783,6/13/20,0.0013497636821249042,90515
0.0028322147336752894,0.000437608849534745,0.0010411589270945237,189928,29346,69820,6/14/20,0.0013534469570460207,90762
0.0028332287526819126,0.0004380412988169813,0.0010396528106288042,189996,29375,69719,6/15/20,0.0013555346432361272,90902
0.002836613786718728,0.00043966671163642136,0.0010429931085329744,190223,29484,69943,6/16/20,0.001353953966549332,90796
0.0028412514324696074,0.00044008424887444263,0.0010471684809131873,190534,29512,70223,6/17/20,0.0013539987026819774,90799
0.0028442487533568315,0.0004405017861124639,0.0010486447732904768,190735,29540,70322,6/18/20,0.0013551021939538907,90873
0.002852733706515193,0.0004407105547314746,0.001051239468983895,191304,29554,70496,6/19/20,0.0013607836827998232,91254
0.002859235357792953,0.00044091932335048523,0.0010534017153950765,191740,29568,70641,6/20/20,0.0013649143190473914,91531
0.002859309918014028,0.00044100879561577547,0.0010536999562793775,191745,29574,70661,6/21/20,0.0013646011661188752,91510
0.002864156332383918,0.00044132194854429145,0.0010548332716397212,192070,29595,70737,6/22/20,0.0013680011121999056,91738
0.002869852733274066,0.0004421719350645491,0.001058039361145956,192452,29652,70952,6/23/20,0.001369641437063561,91848
0.002867064181005852,0.0004423061434624845,0.0010608130013699546,192265,29661,71138,6/24/20,0.001363945036173413,91466
0.0028632616097310154,0.0004425894723025704,0.0010635568175055231,192010,29680,71322,6/25/20,0.0013571153199229218,91008
0.002883184100802317,0.00044296227340794654,0.0010669567635865536,193346,29705,71550,6/26/20,0.001373265063807817,92091
0.0028802911642245984,0.0004429473613637315,0.0010655401193861243,193152,29704,71455,6/27/20,0.0013718036834747427,91993
0.00286950975625712,0.0004429473613637315,0.0010655401193861243,192429,29704,71455,6/28/20,0.0013610222755072643,91270
0.0028945619905383973,0.000443424546778613,0.0010676278055762308,194109,29736,71595,6/29/20,0.0013835096381835535,92778
0.00289849877021117,0.0004438271719724192,0.0010694023388378212,194373,29763,71714,6/30/20,0.0013852692594009293,92896
